"id";"name";"meta_keywords";"tags"
"302";"""Москва строится"": Транспортные развязки на улице Профсоюзной";"";"Дороги|Дорожное строительство"
"303";"""Москва строится"": Реконструкция Бусиновской развязки";"";"Дороги|Дорожное строительство"
"304";"""Москва строится"": Реконструкция Рязанского проспекта";"";"Дороги|Дорожное строительство|Рязанский проспект"
"305";"Станция ""Битцевский парк"" (станция открыта)";"";"метро «Битцевский парк»"
"306";"Станция ""Верхние Лихоборы""";"";"метро «Верхние Лихоборы»"
"307";"Открытие торжественной церемонии награждения конкурса правительства Москвы ""Московская реставрация-2013"". М. Хуснуллин";"";"Архитектурные конкурсы|Марат Хуснуллин"
"308";"Архитектор Юрий Григорян: об исследовании московских окраин ""Археология периферии"". III Московский урбанистический форум";"";\N
"309";"Станция ""Бауманская""";"";\N
"310";"Станция ""Окружная""";"";\N
"311";"Станция ""Петровско-Разумовская""";"";\N
"312";"Станция ""Селигерская""";"";\N
"313";"Станция метро ""Нижняя Масловка"" откроется в декабре 2015 года";"";"метро «Нижняя Масловка»|Метрополитен"
"314";"Какой будет станция метро ""Косино""";"";"метро «Косино»|Метрополитен"
"315";"""Москва строится"": Участок Северо-Восточной хорды";"";"Дороги|Дорожное строительство|Северо-Восточная хорда"
"316";"Выступление мэра Москвы Сергея Собянина на III Московском урбанистическом форуме";"";"Сергей Собянин"
"317";"Марат Хуснуллин: об итогах проведения конкурса на проектирование и реконструкцию стадиона ""Лужники""";"";"Спортивные сооружения|Марат Хуснуллин"
"318";"Декан Высшей школы урбанистики, Высшей школы экономики Александр Высоковский подводит итоги форума";"";\N
"319";"Интервью: Префект СЗАО Владимир Говердовский";"";"СЗАО"
"320";"Реконструкция Октябрьского тоннеля завершится к маю 2015 года";"";"Дороги|Дорожное строительство|Тоннели"
"321";"Архитекторы парка в Зарядье раскрыли новые детали проекта";"";"Зарядье"
"322";"Метро от «Марьиной рощи» до «Петровско-Разумовской» запустят в 2014 г.";"";"метро «Петровско-Разумовская»|метро «Марьина роща»|Метрополитен"
"323";"Доклад заместителя мэра Москвы по градостроительной политике и строительству М. Хуснуллина: ""О ходе выполнения работ по строительству дорожно-транспортной инфраструктуры""";"";"Дороги|Марат Хуснуллин|Сергей Собянин"
"324";"Пробный запуск участка Калининско-Солнцевской линии метрополитена ""Деловой центр"" - ""Парк Победы""";"";"метро «Деловой центр»|метро «Парк Победы»|Сергей Собянин"
"325";"Посещение строящегося участка метро «Битцевский парк» - «Улица Старокачаловская»";"";"метро «Битцевский парк»|Сергей Собянин|Метрополитен"
"326";"Станция ""Фонвизинская""";"";"метро «Фонвизинская»"
"327";"Станция ""Тропарево""";"";\N
"328";"Осмотр хода строительства участка автодороги от Бусиновской развязки до Фестивальной улицы. С. Собянин";"";"Дорожное строительство|Марат Хуснуллин|Сергей Собянин|Дороги"
"329";"""Интервью"": Владимир Жидкин - о планах Департамента на 2014 год";"";"Владимир Жидкин|новая Москва"
"331";"Каким будет участок от Бусиновской развязки до Фестивальной";"";"Дороги|Дорожное строительство"
"332";"Какой будет станция метро «Ховрино»";"";"Метрополитен"
"333";"Какой будет развязка Ленинский проспект - МКАД";"";"Дороги|Дорожное строительство|Ленинский проспект"
"334";"Строительство детских садов в Москве";"";"Детские сады"
"335";"Электродепо «Братеево» откроется в два этапа";"";"Электродепо|Метрополитен"
"336";"Посещение строящегося электродепо «Братеево». С. Собянин";"";"Сергей Собянин|Электродепо|Метрополитен"
"337";"Посещение жилого квартала Медведково в СВАО. С. Собянин, М. Хуснуллин";"";"СВАО|Марат Хуснуллин|Сергей Собянин"
"338";"Эстакаду на Новорязанском шоссе откроют к концу года";"";"Дороги|Дорожное строительство|Эстакады"
"339";"Развитие ТПУ до 2020 года";"";"ТПУ"
"340";"Осмотр хода строительства эстакады на Новорязанском шоссе. С. Собянин, А. Бочкарев";"";"Дорожное строительство|Эстакады|Сергей Собянин"
"341";"Коллегия Комплекса градостроительной политики и строительства города Москвы «Об итогах работы за 2013 год и основных задачах на 2014 год»  с участием мэра Москвы С. Собянина. М. Мень, М. Хуснуллин";"";"Марат Хуснуллин|Сергей Собянин"
"342";"Открытие эстакад-съездов № 6 и № 8 в составе участка Четвертого транспортного кольца от шоссе Энтузиастов до Измайловского шоссе. С. Собянин, А. Бочкарев";"";"Дороги|Дорожное строительство|Сергей Собянин"
"343";"Как строятся жилые дома в Москве";"";"Строительство жилых домов"
"346";"В январе откроют две новые эстакады на северо-востоке Москвы";"";"Дороги|Дорожное строительство|СВАО|Эстакады"
"347";"Как реконструируют развязку между МКАД и Волоколамским шоссе";"";"Дороги|Дорожное строительство"
"348";"«Москва в цифрах»: На территории «ЗиЛа» построят Ледовый дворец";"";"Промзоны|Промышленные территории|Спортивные сооружения"
"349";"Как реконструируют развязку на Варшавском шоссе";"";"Дороги|Дорожное строительство|Варшавское шоссе"
"350";"Дороги между Киевским и Калужским шоссе реконструируют";"";"Дороги|Дорожное строительство"
"352";"Открытие движения на участке метрополитена «Деловой центр» - «Парк Победы». М. Хуснуллин, А. Бочкарев";"";"метро «Деловой центр»|метро «Парк Победы»|Марат Хуснуллин"
"353";"Осмотр строящейся станции метро «Петровско-Разумовская» Люблинско-Дмитровской линии. С. Собянин, М. Хуснуллин";"";"метро «Петровско-Разумовская»|Марат Хуснуллин|Сергей Собянин"
"354";"Станция ""Спартак""";"";\N
"355";"Какие изменения ждут «новую Москву» в 2014 году";"";"новая Москва|Градостроительная политика"
"356";"«Москва в цифрах»: Как изменится промзона завода «ЗиЛ» к 2021 году";"";"Промзоны|Промышленные территории"
"357";"Посещение строящегося стадиона «Спартак» и одноименной станции метро. С. Собянин, А. Бочкарев";"";"Спортивные сооружения|метро «Спартак»|Сергей Собянин"
"358";"Испанская технология строительства метро методом «Стена в грунте»";"";"Метрополитен"
"359";"Посещение реконструированного здания театра А. Градского. С. Собянин";"";"Сергей Собянин"
"360";"Осмотр хода строительства Кожуховской линии московского метрополитена. М. Хуснуллин";"";"Марат Хуснуллин|Метрополитен"
"361";"Завершилась реконструкция здания театра Градского";"";"новости города"
"362";"Развитие железной дороги и метро в «новой Москве»";"";"Железная дорога|новая Москва|Метрополитен"
"363";"Три новых станции метро открыли в Москве с начала года";"";"метро «Деловой центр»|метро «Лесопарковая»|метро «Битцевский парк»"
"364";"Открытие станций метро «Лесопарковая» и «Битцевский парк». С. Собянин, М. Хуснуллин";"";"метро «Лесопарковая»|метро «Битцевский парк»|Марат Хуснуллин|Сергей Собянин"
"365";"Осмотр хода реконструкции Дмитровского шоссе и строительства станции московского метрополитена «Фонвизинская»";"";"Дмитровское шоссе|метро «Фонвизинская»"
"366";"В столице будут строить метро по испанским технологиям";"";"Метрополитен"
"367";"Какие объекты построят в Москве в ближайшие три года";"";"Гостиницы|Спортивные сооружения|Строительство жилых домов|Градостроительная политика"
"368";"В Москве открылся III Российский инвестиционно-строительный форум";"";"новости города"
"370";"Россия выбрана страной почета на MIPIM-2014";"";\N
"371";"Северный дублер Кутузовского проспекта сделают платной трассой";"";"Дороги|Дорожное строительство"
"372";"В Куркино открыли детский сад с современными технологиями";"";"Детские сады"
"373";"Мэр Москвы Сергей Собянин открыл крупнейший в России кризисный центр помощи женщинам";"";"Сергей Собянин"
"374";"MIPIM-2014 (МИПИМ): Марат Хуснуллин о новом архитектурном макете Москвы";"";"Марат Хуснуллин"
"375";"""Большое интервью"": Марат Хуснуллин подвел итоги выставки MIPIM";"";"Градостроительная политика|Марат Хуснуллин"
"377";"Развитие прибрежной территории Москвы-реки заинтересовало инвесторов";"";"Сергей Кузнецов|новости города"
"378";"""Интервью"": Владимир Жидкин - о зарубежных инвестициях в ""новую Москву""";"";"Владимир Жидкин|новая Москва"
"379";"Осмотр хода реконструкции стадиона «Лужники». С. Собянин, М. Хуснуллин";"";"Спортивные сооружения|Марат Хуснуллин|Сергей Собянин"
"380";"Осмотр хода строительства станции метро «Технопарк». М. Хуснуллин";"";"метро «Технопарк»|Марат Хуснуллин|Метрополитен"
"381";"""Интервью"": Андрей Бочкарев - о дорожном строительстве в 2014 году";"";"Андрей Бочкарев|Департамент строительства|Дорожное строительство"
"382";"Дублер Кутузовского проспекта начнут строить в 2015 году";"";"Дороги|Дорожное строительство"
"383";"Спортивная арена «Лужники» готовится принять ЧМ по футболу";"";"Спортивные сооружения"
"384";"""Интервью"": Андрей Бочкарев - о программе сноса ветхих пятиэтажек";"";"Андрей Бочкарев|Департамент строительства|Снос некомфортного жилья"
"385";"Осмотр строящейся станции метро «Румянцево» мэром Москвы Сергеем Собяниным";"";"метро «Румянцево»|Марат Хуснуллин|Сергей Собянин"
"386";"У школы № 1380 появится блок начальных классов";"";"Школы"
"387";"Программа строительства 200 православных храмов в Москве";"";"Программа-200"
"388";"«Москва в цифрах»: Правила размещения уличных вывесок";"";"новости города"
"389";"300 гектаров промзоны «ЗиЛ» ждет масштабная реорганизация";"";"Промзоны|Промышленные территории"
"390";"Всероссийский форум «Долевое строительство»: итоги и перспективы";"";"Марат Хуснуллин"
"391";"Пресс-подход М.Ш. Хуснуллина в МИИТ";"";"Марат Хуснуллин"
"392";"Заместитель мэра Москвы Марат Хуснуллин представил планы градостроительного развития города на встрече с преподавательским составом и студентами МИИТ";"";"Градостроительная политика|Марат Хуснуллин"
"393";"Футболист Александр Панов о «Лужниках»";"";"Спортивные сооружения"
"394";"Комментарий о перспективе строительства станции метро «Беломорская улица». М. Хуснуллин";"";"метро «Беломорская улица»|Марат Хуснуллин|Метрополитен"
"395";"Выступление заместителя мэра Москвы по градостроительной политике и строительству Марата Хуснуллина на ежегодном мультимедийном форуме «Девелопмент-2014»";"";"Марат Хуснуллин"
"396";"Участок от Бусиновской развязки до Фестивальной улицы достроят осенью";"";"Дороги|Дорожное строительство"
"397";"Строительство станции метро ""Беломорская"" начнется в 2018 году";"";"метро «Беломорская улица»|Метрополитен"
"398";"Реконструкция развязки на Волгоградском проспекте";"";"Дороги|Дорожное строительство|Волгоградский проспект"
"399";"Как Третий пересадочный контур метро разгрузит радиальные линии";"";"Третий пересадочный контур|Метрополитен"
"400";"Как изменится территория завода «ЗиЛ»";"";"Промзоны|Промышленные территории"
"401";"Осмотр хода строительства участка автодороги Москва-Санкт-Петербург (Северная рокада) от Бусиновской развязки до Фестивальной улицы.";"";"Дороги|Дорожное строительство"
"402";"Осмотр строительства жилого микрорайона Новые Ватутинки в ТиНАО. С. Собянин, М. Хуснуллин";"";"Строительство жилых домов|новая Москва"
"403";"Осмотр хода строительства станции московского метрополитена «Селигерская»";"";"метро «Селигерская»"
"404";"""Интервью"": Константин Тимофеев - о развитии промзон в столице";"";"Промзоны|Промышленные территории|Константин Тимофеев"
"405";"Первые станции Третьего пересадочного контура откроются в 2015 г.";"";"Третий пересадочный контур"
"406";"Ледовый дворец «Арена легенд» возводят на территории завода «ЗиЛ»";"";"Промзоны|Спортивные сооружения"
