"id";"name";"meta_keywords";"tags"
"387";"Новая поликлиника на Волжском бульваре (ЮВАО). С. Собянин, М. Хуснуллин";"";"жители|Марат Хуснуллин|объекты медицины|Сергей Собянин|ЮВАО"
"388";"Реконструкция Пятницкой улицы. С. Собянин, П. Бирюков";"";"Москва|дороги|Марат Хуснуллин|реконструкция|Велодорожки|ЦАО"
"389";"Как создают крупнейший в мире архмакет Москвы. С. Лёвкин, О. Диденко";"";"Москва|дома|дороги"
"390";"Конференция по развитию Московского транспортного узла. М. Хуснуллин, К. Тимофеев";"";"Москва|Марат Хуснуллин|Константин Тимофеев"
"391";"Открытие движения по новой эстакаде на Дмитровском шоссе. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|строительство|вылетные магистрали|эстакады|Дмитровское шоссе|Сергей Собянин"
"392";"Открытие движения по съезду и путепроводу на развязке МКАД и Можайского шоссе. С. Собянин, А. Бочкарев";"";"МКАД|дороги|Андрей Бочкарев|строительство|вылетные магистрали|Можайское шоссе|Сергей Собянин"
"393";"Открытие детского сада в районе Ховрино. С. Собянин, А. Бочкарев";"";"жители|Андрей Бочкарев|ДОУ|детские сады|строительство|Сергей Собянин|САО"
"394";"Реконструкция БСА ""Лужники"". С. Собянин, А. Бочкарев";"";"Андрей Бочкарев|спортивные объекты|реконструкция|Сергей Собянин"
"395";"Гребной канал после реконструкции. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|спортивные объекты|реконструкция|Сергей Собянин|Гребной канал в Крылатском"
"396";"Реконструкция ВДНХ. С. Собянин, М. Хуснуллин, А. Кибовский";"";"жители|Марат Хуснуллин|реконструкция|выставка|Народные парки|Сергей Собянин|аэрофотосъемка|Объекты культуры"
"397";"Реконструкция транспортной развязки МКАД - Волгоградский проспект. М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|развязки|транспортные развязки|вылетные магистрали|реконструкция|Волгоградский проспект|аэрофотосъемка"
"398";"Строительство стадиона и станции метро ""Спартак"". М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|строительство|спортивные объекты|станции метро|метро «Спартак» (Таганско-Краснопресненская линия)|аэрофотосъемка"
"399";"Реконструированная дорога между Киевским и Боровским шоссе (г. Московский - дер. Рассказовка). С. Собянин, М. Хуснуллин, В. Жидкин";"";"дороги|жители|Марат Хуснуллин|Владимир Жидкин|Сергей Собянин|аэрофотосъемка|ТиНАО"
"400";"Награждение победителей конкурса ""Лучший реализованный проект 2013 года в области инвестиций и строительства"". С. Лёвкин, Б. Фролов";"";"Сергей Лёвкин|конкурсы|Городские конкурсы|Награждения"
"401";"Открытие движения по Можайскому путепроводу. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|вылетные магистрали|реконструкция|Можайское шоссе|Сергей Собянин|аэрофотосъемка"
"402";"Коллегия Стройкомплекса Москвы. С. Собянин, М. Хуснуллин, М. Мень";"";"собрание|Марат Хуснуллин|Андрей Бочкарев|Сергей Лёвкин|Сергей Кузнецов|Владимир Жидкин|коллегия Стройкомплекса|выставка|Городские конкурсы|Награждения|Сергей Собянин|Михаил Мень"
"403";"Концерт, посвященный Дню строителя, на ВДНХ. С. Собянин, М. Мень";"";"Сергей Собянин|аэрофотосъемка|Михаил Мень"
"404";"Спартакиада в честь Дня строителя в ""Лужниках"". В. Лаптев";"";"жители"
"405";"Специалистам Стройкомплекса вручены награды";"";"Марат Хуснуллин|Андрей Бочкарев|Сергей Лёвкин|Сергей Кузнецов|Награждения|Юлиана Княжевская"
"407";"Новая школа на Мичуринском проспекте. С. Собянин, М. Хуснуллин, К. Тимофеев";"";"Марат Хуснуллин|Андрей Бочкарев|Константин Тимофеев|школа|Сергей Собянин"
"408";"Строительство станции метро ""Раменки"". С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|строительство метро|строительство|станции метро|метро «Раменки»|Сергей Собянин|ЗАО"
"409";"""Бизнес-бранч для девелоперов"". М. Хуснуллин, В. Жидкин, С. Кузнецов";"";"дома|дороги|Марат Хуснуллин|Владимир Жидкин|ЦАО"
"410";"Строительство станции метро ""Шелепиха"" и реконструкция школы им. Гнесиных. М. Хуснуллин, А. Бочкарев, В. Фуер";"";"Москва|Марат Хуснуллин|Андрей Бочкарев|метро|Москва-Сити|МКЖД|Третий пересадочный контур|реконструкция|освещение работы Стройкомплекса|метро «Шелепиха» (Третий пересадочный контур)|аэрофотосъемка|ЦАО"
"411";"Открытие транспортной развязки на Варшавском шоссе. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|строительство|развязки|вылетные магистрали|эстакады|Варшавское шоссе|Сергей Собянин|аэрофотосъемка|Петр Аксенов|ЮАО"
"412";"Новостройки на ул. Мневники для жителей сносимых пятиэтажек. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дома|жители|Марат Хуснуллин|Андрей Бочкарев|жилье|Снос некомфортного жилья|Сергей Собянин|СЗАО"
"413";"Депо метрополитена ""Печатники"". С. Собянин, Д. Пегов";"";"метро|электродепо|Сергей Собянин|аэрофотосъемка|ЮВАО"
"414";"Установка скульптуры гладиатора у стадиона ""Спартак""";"";"спортивные объекты|аэрофотосъемка|СЗАО"
"415";"Начало строительства ЦКАД в ""новой Москве"". С. Собянин, А. Воробьев, М. Соколов";"";"дороги|строительство|Сергей Собянин|аэрофотосъемка"
"416";"Запуск станции метро ""Спартак"" Таганско-Краснопресненской линии. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|метро|строительство метро|Таганско-Краснопресненская линия|станции метро|метро «Спартак» (Таганско-Краснопресненская линия)|Сергей Собянин|аэрофотосъемка|СЗАО"
"417";"Открытие стадиона футбольного клуба ""Спартак"". В. Путин, С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|строительство|спортивные объекты|Владимир Путин|Сергей Собянин|аэрофотосъемка|СЗАО"
"418";"Реконструкция Мичуринской развязки и строительство станции метро ""Новопеределкино"". С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|метро|строительство метро|строительство|вылетные магистрали|станции метро|метро «Новопеределкино»|Сергей Собянин|Петр Аксенов"
"419";"Фотоконкурс ""Планета Москва""";"";\N
"420";"Открытие школы в поселении Десеновское ""новой Москвы"". С. Собянин, М. Хуснуллин";"";"жители|Марат Хуснуллин|школа|объекты образования|Сергей Собянин|аэрофотосъемка|ТиНАО|ТАО"
