"name";"description"
"Мневниковская пойма";"<p>Власти Москвы приняли решение о комплексном развитии территории <a href=""/news/chast-territorii-mnevnikovskoi-poimy-budet-razvivatsya-kak-sportivnyi-klaster-husnullin"">Мневниковской поймы</a>, которая сегодня находится в запущенном состоянии и фактически заброшена.</p>

<p>Строительство <a href=""/news/vlasti-moskvy-planiruut-v-2015-godu-nachat-stroitelstvo-parlamentskogo-centra-v-severnoi-chasti-mnevnikovskoi-poimy"">Парламентского центра</a> в этом районе позволит решить две важные задачи. Во-первых, переезд парламентариев позволит разгрузить центр столицы, а во-вторых, в Нижних Мневниках будет создана новая точка притяжения горожан. Развитие этого района существенно улучшит качество жизни местных жителей.</p>"
"В Московском метро появится «второе кольцо»";""
"Транспортная развязка на пересечении Аминьевского шоссе с улицей Генерала Дорохова";"<p>Согласно проекту, в составе развязки предлагается построить двухполосный тоннель (428 м) для съезда с улицы Генерала Дорохова на Аминьевское шоссе в направлении Можайского шоссе. Запланировано также строительство правоповоротных съездов (680 м) с улицы Генерала Дорохова на Аминьевское шоссе в сторону Мичуринского проспекта.</p>"
"В районе Хорошево-Мневники построили детский садик на 350 мест";"<p>Строительство началось в июне 2014 года, садик планировали ввести в эксплуатацию в конце марта 2015 года. Однако строителям удалось набрать хороший темп ведения работ, и первых воспитанников детсад примет совсем скоро!</p>"
"Поликлиники, которые построят в 2014 - 2017 годах";""
"Перспективная линия скоростного трамвая от станции  метрополитена «Шоссе Энтузиастов» в район Ивановское (ВАО)";"<p>Линия скоростного трамвая позволит &nbsp;вдвое сократить время поездки до ближайшей станции метро для 80 тысяч жителей районов Ивановское и Перово. &nbsp;</p>"
"Реконструкция развязок на МКАД";""
"Закрытие станции «Бауманская»";"<p>С 8 февраля 2015 г. станция метро &laquo;Бауманская&raquo; закроется на реконструкцию.&nbsp;<strong style=""color: rgb(64, 64, 64); font-size: 12px; text-align: center;"">Источник: <a href=""http://www.mskagency.ru/"">АГН &laquo;Москва&raquo;</a></strong><br />
&nbsp;</p>"
"Поэтажное зонирование ЦДМ";""
"Дороги в ТиНАО, которые планируется реконструировать в первую очередь";""
"Парки «новой Москвы»";""
